1	0	1
2	1	1
3	2	1
4	2	1
5	1	1
6	2	1
7	2	1
8	2	1
9	1	1
10	1	1
11	7	1
12	2	1
13	1	1
14	2	1
15	12	1
16	1	1
17	1	1
18	2	1
19	6	1
20	2	1
21	2	1
22	5	1
23	12	1
24	17	1
25	1	1
26	22	1
27	8	1
28	7	1
29	17	1
30	2	1
31	2	1
32	19	1
33	3	1
34	17	1
35	26	1
36	35	1
37	2	1
38	1	1
39	8	1
40	18	1
41	1	1
42	33	1
43	10	1
44	17	1
45	1	1
46	39	1
47	21	1
48	10	1
49	7	1
50	1	1
51	2	1
52	2	1
53	4	1
54	47	1
55	7	1
56	3	1
57	30	1
58	0	1
59	52	1
60	18	1
61	8	1
62	21	1
63	59	1
64	53	1
65	2	1
66	19	1
67	34	1
68	1	1
69	1	1
70	2	1
71	1	1
72	70	1
73	1	1
74	2	1
75	24	1
76	11	1
